,url,owner_id,project_name,image_count,comment,provide-IT-env for others,multi-component,microservices,have a test,Infrastructure for a field: all the tool necessary for something,"Duplicate images, but different configs",
69,https://api.github.com/repos/rough007/CCF-VM,11165954,CCF-VM,17,"a set of multi-component systems. In other words, they are a set of tools that are constituted of multiple components. At the end, it is not one final product",0,1,0,0,processing and advanced analysis of forensic artifacts and images.,0,
71,https://api.github.com/repos/Andrzej997/Streamer-Spring-Cloud-Config-Server,11483752,Streamer-Spring-Cloud-Config-Server,16,Microservices. The whole repository is for configuration of a multi-component system. Each microservice has an associated image in dockerhub,0,1,1,0,0,0,
74,https://api.github.com/repos/ESGF/esgf-docker,527944,esgf-docker,16,The stack configuration for a distributed data and computation platform. They have a repository for configuration,0,1,0,0,0,0,
27,https://api.github.com/repos/CoderDojo/cp-local-development,153034,cp-local-development,15,"Docker-compose ""is used to start the containers and set the env variables"". They are using the same image for multiple components, each of which with a different configuration that servers different purposes. E.g., a Node image for emails, another node image for a front-end service. THese different configurations include different environment settings, different volumes",0,1,0,0,0," They are using the same image for multiple components, each of which with a different configuration that servers different purposes. E.g., a Node image for emails, another node image for a front-end service. THese different configurations include different environment settings, different volumes",
29,https://api.github.com/repos/e-ucm/rage-analytics,653192,rage-analytics,15,"A multi-component architecture with multiple components that are interconnected. They didn't mention whether it's a microservice architecture. Some of these components are existing software systems such as Mongo, Redis, Elastic, … The repo is dedicated to the configuration",0,1,0,0,0,0,
53,https://api.github.com/repos/telemark/skoleskyss.t-fk.no,3111050,skoleskyss.t-fk.no,15,Not english project. It looks like multiple components that are all connected to 3 mongo databases,,,,,,,
102,https://api.github.com/repos/remp2020/remp,37811898,remp,15,"a web app composed of 4 components plus the necessary infrastructure for data storage (mysql), configuration (zookeeper), and web server (nginx). No test component is observed ",0,1,0,0,0,"Just 2 components use the same image, but with different configs",
46,https://api.github.com/repos/unt-libraries/catalog-api,3348710,catalog-api,14,"A django project. It contains a set of environments for each component (databases, solr, and redis): a dev, a test environments. ",0,1,0,1,0,,
87,https://api.github.com/repos/rstiller/inspector-metrics,151966,inspector-metrics,14,"15 environments that are identical for the compilation and tests, the unique difference is the version of the node that is used + a set of environments for tools that are dedicated to the monitoring of a system",0,0,0,1,0,identical environments. The unique difference is the version of NodeJS,
97,https://api.github.com/repos/sjphiChina/life,36412603,life,14,?,,,,,,,
98,https://api.github.com/repos/yiping999/springcloud-pig,36514105,springcloud-pig,14,?,,,,,,,
107,https://api.github.com/repos/vlam321/Inf191BloomFilter,38703465,Inf191BloomFilter,14,"this looks like 'sharding' pattern. They have same environement repeated, each environment corresponds to a shard, which they configure as a constant + this project has 2 monitoring environments and a database",0,0,0,0,0,"this looks like 'sharding' pattern. They have same environement repeated, each environment corresponds to a shard, which they configure as a constant + this project has 2 monitoring environments and a database",
1,https://api.github.com/repos/notionparallax/ShadowWolf,1574110,ShadowWolf,13,?,,,,,,,
14,https://api.github.com/repos/cstorey/nrod,88105,nrod,13,REMOVED,,,,,,,
15,https://api.github.com/repos/praekelt/mama-ng-deploy,52962,mama-ng-deploy,13,"A repository dedicated to configuration that ""tie together and deploy the components of MAMA Nigeria""",0,1,0,0,0,Different postgress databases that are used by different components,
18,https://api.github.com/repos/SmartDeveloperHub/sdh-platform,8194998,sdh-platform,13,"A repository dedicated to ""Deploying the Smart Developer Hub platform"". The platform consists of a set of tools for a platform (the link to its website is not working anymore)",0,0,0,0,0,Same images but different configurations,
42,https://api.github.com/repos/dvoraka/av-service,2564621,av-service,13,?,,,,,,,
54,https://api.github.com/repos/silinternational/developer-portal,2509159,developer-portal,13,A php website and its environment + some testing environments,0,0,0,1,0,different commands,
65,https://api.github.com/repos/RystLee/DevDock,8407011,DevDock,13,Not english project.,,,,,,,
76,https://api.github.com/repos/CRAWLZSTAGE/infra,32356650,infra,13,"A web app (just 2 components) with its required environments (web server, postgres) + environements for monitoring (prometheus) and components communication (rabbitmq)",0,1,0,0,0,0,
83,https://api.github.com/repos/dvsa/mot,32860182,mot,13,REMOVED,,,,,,,
84,https://api.github.com/repos/matrix-org/dendrite,5084100,dendrite,13,multi-component architecture. It has also a set of dependencies (kafka and postgress). ,0,1,0,compose file is removed,0,compose file is removed,
101,https://api.github.com/repos/btcpayserver/btcpayserver,37652026,btcpayserver,13,"a multi-component system. The docker-compose is mainly used for testing, they have a test component that uses a dev component, which at its turn invokes the existing components. There are also some infrastructure environments",0,1,0,<-,0,different configs,
103,https://api.github.com/repos/EdwinVW/pitstop,2917373,pitstop,13,This project is just a demonstration of how to use microservices and other techniques on a sample application (a garage),,,,,,,
104,https://api.github.com/repos/multimedial/Hyperledger,7668204,Hyperledger,13,not english,,,,,,,
5,https://api.github.com/repos/SP7-Ritmare/starterkit,2812073,starterkit,12,The project uses existing components to provide a set of services. These components include django and other services for a geographic application,0,1,0,0,0,0,
7,https://api.github.com/repos/bgruening/docker-galaxy-stable,683027,docker-galaxy-stable,12,,,,,,,,
11,https://api.github.com/repos/mozilla/marketplace-env,1146,marketplace-env,12,A multi-compoent tool (markeplace of mozilla). The tools required to set-up a backend app for mozilla,0,1,0,0,0,0,
21,https://api.github.com/repos/vesellov/bitdust.devel,3453903,bitdust.devel,12,Docker-compose is in a test folder!!! Not clear what this docker-compose file is for,,,,,,,
22,https://api.github.com/repos/Runbook/runbook,8716721,runbook,12,"""Runbook utilizes RethinkDB and Redis for data persistence, and several Python modules for communications and functionality""",0,1,0,0,0,Same images are re-used but with different commands,
23,https://api.github.com/repos/probr/probr-core,9064593,probr-core,12,"This project use the standard web components (redis, mongo, postgres, …). Interestingly, the project uses a whole component for data instead of using volume. Though, this is a master project",0,0,0,0,0,"the project uses a whole component for data instead of using volume. Though, this is a master project",
37,https://api.github.com/repos/gameontext/gameon,10070724,gameon,12,a multi-component game,0,1,0,0,0,0,
38,https://api.github.com/repos/istresearch/traptor,1941288,traptor,12,A multi-component system for managing twitter data collection,0,1,0,0,0,"one image, but different env. Variables",
39,https://api.github.com/repos/EMSL-MSC/pacifica-reporting,220449,pacifica-reporting,12,A multi-component system,0,1,0,0,0,0,
63,https://api.github.com/repos/Minds/minds,366242,minds,12,"The necessary infrastructure for a web app (DB, web servers, cache, …). They have a component dedicated to the installation",0,?,0,0,0,0,
64,https://api.github.com/repos/bdelacretaz/sling-adaptto-2016,163350,sling-adaptto-2016,12,"A DEMO!!!! A single component system that installs the required infrastructure for communication (activemq), database (mongo), monitoring (kibana) …",0,0,0,0,0,0,
67,https://api.github.com/repos/Osedea/nodock,6740754,nodock,12,"""The goal of NoDock is to provide a complete environment for your node project"" provide environment for other project",environment for a node project,0,0,0,0,0,
86,https://api.github.com/repos/komuW/meli,2376783,meli,12,"This project don't use docker-compose, it provides an alternative to docker-compose. Docker-compose is used as a benchmark for comparison",,,,,,,
106,https://api.github.com/repos/HCScorp/soa,38676675,soa,12,"A set of services for helping employees. They decided to go ""one web service for each""",0,1,0,0,"""an ecosystem of services dedicated to support an employee when travelling for business purpose""",0,
2,https://api.github.com/repos/pypa/warehouse,64110,warehouse,11,"This app has multiple components, but not one environment per component. The split apparently is just at the code level, but not environment level.",0,1,0,0,0,0,
8,https://api.github.com/repos/instedd/nuntium,560206,nuntium,11,"multiple disconected services, each of which if for one type of messages (e.g., sms, email, twitter, …)",0,Not clear if there is a main component that invokes the other components that are dedicated to sending different types of messages,0,0,Mails,0,
9,https://api.github.com/repos/astrobin/astrobin,329761,astrobin,11,"""AstroBin is an image hosting platform and social network for astrophotographers.""",0,"3 components, split into sub-components",0,0,0,0,
12,https://api.github.com/repos/pudo/aleph,77981,aleph,11,"App to ""search and browse documents and data""",0,1,0,0,0,0,
24,https://api.github.com/repos/metabrainz/listenbrainz-server,130601,listenbrainz-server,11,"web app with its infrastructure and environments (web server, database, rabittmq, ..) for certain APIs",0,?,0,0,0,"same image is used for different components, each of which has a specific command",
32,https://api.github.com/repos/ec-geolink/d1lod,6082863,d1lod,11,A service that is constituted of an infrastructure of multiple tools,0,?,0,0,0,0,
35,https://api.github.com/repos/Codeception/CodeceptJS,42286,CodeceptJS,11,A tool for testing,-,-,-,the whole docker-compose seems to be used for creating different environments that test the provided servcies,-,-,
36,https://api.github.com/repos/astrobin/astrobin,10666342,astrobin,11,"web app. ""The docker-compose-*.yml files contain all the instructions needed to bring up the stack""",0,1,0,0,0,0,they use docker-compose to easily reset and rebuild the environment
41,https://api.github.com/repos/snowplow/snowplow-mini,91670,snowplow-mini,11,,,,,,,,
48,https://api.github.com/repos/AdaptiveConsulting/ReactiveTraderCloud,3043698,ReactiveTraderCloud,11,an app for tradding,0,1,0,0,0,0,
50,https://api.github.com/repos/dustinleblanc/veccs,1790999,veccs,11,php app,0,0,0,"They have components for the infrastructure like php and nginx, and components to test these infrastructures like testphp and testnginx. They also use the component wernight/phantomjs, which is for testing purposes",0,One real component and one similar component for testing,
51,https://api.github.com/repos/idugalic/micro-ecommerce,7700967,micro-ecommerce,11,Not a real project. This project just demonstrate how to make a microservice application,,,,,,,
55,https://api.github.com/repos/backd-io/backd,13331980,backd,11,,,,,,,,
66,https://api.github.com/repos/meppe/ros-ort,7522077,ros-ort,11,"""This repo contains start scripts, and code to run dockerized object recognition and tracking based on ROS. Docker images are based on Ubuntu 16.04 and ROS kinetic""",0,1,0,0,0,with different volumes and configurations,
93,https://api.github.com/repos/rudibroekhuizen/docker-postgresplus,2109549,docker-postgresplus,11,"A project that provides an extension to postgres. ""PostgreSQL playground running on Docker with logs presented in Kibana dashboard and Pgadmin webinterface""",0,1,0,0,0,,
95,https://api.github.com/repos/OpenLMIS-Malawi/mw-ui,36757382,mw-ui,11,A set of Uis that constitute an app,0,1,0,0,0,,
96,https://api.github.com/repos/TouK/nussknacker,485526,nussknacker,11,"The app contains a few components (a job manager and a task manager) and a set of infrastructure tools (kafka, grafana)",0,1,0,0,0,the two components job and task managers use the same image but different commands are executed,
100,https://api.github.com/repos/Arragro/ArragroCMS.Examples,6191577,ArragroCMS.Examples,11,"doesn't look to be a real project as the project has ""Example"" in its title",,,,,,,
6,https://api.github.com/repos/miguelfc/marble,2463572,marble,10,A multi-component system (resulting from someone's PhD). Outdated and unmaintained,0,1,1,0,0,0,
16,https://api.github.com/repos/confluentinc/bottledwater-pg,6752386,bottledwater-pg,10,"""docker-compose, which is used to orchestrate the interaction between services.""",0,1,0,0,0,0,
17,https://api.github.com/repos/greg0ire/dockerony,264319,dockerony,10,"""Leverage the power of docker to make development initialization easy. The goal is to have the members of your team ready to code very quickly ""","Set-up environment to make deployment easy. It consists of a set of tools that are prebuilt. These tools include: php, nginx, postgres, mailcatcher, …",0,0,0,0,0,
19,https://api.github.com/repos/JeroenBoersma/docker-compose-development,301764,docker-compose-development,10,"""Docker-compose-development aims to be a plug 'n play setup for you to quickly start developing locally with services as NGINX, PHP, Blackfire, Percona, MailHog and more!"" The large number of images look like they are using different versions of the same system (php), each of these components is for a giving version",1,0,0,0,0,0,
20,https://api.github.com/repos/cloudera/ibis,60054,ibis,10,A toolkit,"""Ibis is a toolbox to bridge the gap between local Python environments, remote storage, execution systems like Hadoop components (HDFS, Impala, Hive, Spark) and SQL databases. Its goal is to simplify analytical workflows and make you more productive.""",0,0,0,0,0,
26,https://api.github.com/repos/obi-a/maestro,159054,maestro,10,,,,,,,,
30,https://api.github.com/repos/ebmdatalab/openprescribing,10021339,openprescribing,10,A web app. It has a few environment just for Dev and tests. They not using docker-compose to connect different components,0,0,0,1,0,0,
31,https://api.github.com/repos/webrecorder/webrecorder,10070448,webrecorder,10,"a web app. It has a few component for the infrastrucutre (e.g., nginx), and the web app is multiple components (e.g., a front end component, a recorder, a mailserver",0,1,0,0,0,0,
34,https://api.github.com/repos/spinnaker/spinnaker,5189246,spinnaker,10,"""Spinnaker is an open-source continuous delivery platform """,0,1,1,0,0,,
43,https://api.github.com/repos/mozilla/addons-server,1146,addons-server,10,"""Welcome to the [Mozilla] Addons Server repository!"". It has 4 components (front end, autograph, worker, and web), the remaining components are for the infrastructure",0,1,0,0,0,0,
44,https://api.github.com/repos/MUSIT-Norway/musit,11741362,musit,10,"A set of microservices that constitute a software system, with some additional components for the infrastructure",0,1,1,0,0,0,
47,https://api.github.com/repos/ender74/yart,11553926,yart,10,a website. The compose has the necessayr components for the infrastructure,0,0,0,0,0,0,
56,https://api.github.com/repos/holisticon/camunda-bpm-cloud,154662,camunda-bpm-cloud,10,A microservice application created using java. The compose file has the services and some infrastructure tools such as mysql,0,1,1,0,0,0,
57,https://api.github.com/repos/cyber-dojo/web,14498946,web,10,A microservice,0,1,1,"all the container names start with ""test""",0,0,
59,https://api.github.com/repos/kchrusciel/OmOmFood,11978671,OmOmFood,10,"Don't know what is the type of the applicatoin. But, from the docker-compose, it looks like a set of services",0,1,0,0,0,0,
62,https://api.github.com/repos/codexgigassys/codex-backend,27609737,codex-backend,10,A web app installed and setup using docker,0,?,?,0,0,"identical images exist, just the commands are different",
68,https://api.github.com/repos/telefonicaid/fiware-sinfonier,43404,fiware-sinfonier,10,"A web app that is constituted of a web component, a backend, and a backendapi. On top of that, they have components for the infrastructure (mongo, zookeeper, …)",0,1,0,0,0,"they use Apache storm with different commands, which makes sense",
72,https://api.github.com/repos/kivy/kivy-server,30957,kivy-server,10,,,,,,,,
73,https://api.github.com/repos/tburdett/biosamples-analysis,121697,biosamples-analysis,10,"""Contains python scripts and cypher to read BioSamples info from Solr, store in Neo4J database"". That seems to be through different docker-compose commands (docker-compose up collate-attributes docker-compose up create-csv docker-compose up populate-neo4j docker-compose up neo4j-server(-local)), each of which has a dedicated docker component",0,0,0,0,0,"They use the same image twice, one for dev and another one for prod. ",
78,https://api.github.com/repos/runabove/metronome,4556668,metronome,10,"A set of different instances in addition to their infrastructure (kafka, PostgreSQL, and Redis) ",0,0,0,0,,"They build the environments from a given dockerfile, and each environment/component gets a different command to execute. ",
79,https://api.github.com/repos/jdufner/microservice,2387646,microservice,10,Demo for a microservices app usage? Not english,,,,,,,
80,https://api.github.com/repos/bstaijen/mariadb-for-microservices,3640559,mariadb-for-microservices,10,"Just an example: ""MariaDB for Microservices is a working example on how to create an application using the microservice architectural approach and the MariaDB Server."" ",,,,,,,
85,https://api.github.com/repos/alephdata/aleph,34608619,aleph,10,"An app for ""Search and browse documents and data; find the people and companies you look for.""",0,1,0,0,0,The same image is used 3 times but with different commands,
91,https://api.github.com/repos/ibis-project/ibis,7692560,ibis,10,DUPLICATE,,,,,,,
92,https://api.github.com/repos/nosinovacao/name-sdk,31364734,name-sdk,10,"""A dependencies management library designed to expose and access dependencies information.""",0,?,?,The whole docker-compose seems to be used for integration tests. The compose is setting up environments and testing them ,0,They are testing as an example rabbitmq and a specific version (3.6.5) of the same image rabbitmq,
94,https://api.github.com/repos/belbio/bel_api,36660504,bel_api,10,,,,,,,,
99,https://api.github.com/repos/joaosoft/go-manager,32920022,go-manager,10,Not easy to know what this project is for,0,Most of the images look like external tools,0,0,0,"They have duplicate images, each of which is with a command",
105,https://api.github.com/repos/ContinuITy-Project/ContinuITy,38142804,ContinuITy,10,"A reserarch project. The compose has its components plus a set of infrastructure tools (rabittmq, jmeter, …). The Jmeter component doesn't seem to test their stuff, but it's part of the features their project provides",0,1,0,0,0,0,
110,https://api.github.com/repos/cualbondi/cualbondi,10022844,cualbondi,10,Not english,?,1,?,0,0,"They have too many duplicates, but again each of these duplicates is runing a different command",
